Name,Spectral class,Comments
AT2024agqx,TDE-He,AstroNote 2025-50
AT2024admt,TDE-He,AstroNote 2025-50
AT2024aepd,TDE-H+He,AstroNote 2025-9
AT2024yqo,TDE-H+He,TNS Classification Report No. 18618
AT2024zau,TDE-H+He,AstroNote 2024-328
AT2024ymu,TDE-featureless,AstroNote 2024-369
AT2024wsd,TDE-H+He,AstroNote 2024-302
AT2024vip,TDE-H+He,this paper/TDE-He AstroNote 2024-302
AT2024ule,TDE-H+He,AstroNote 2024-318
AT2024tvd,TDE-H+He,TNS Classification Report No. 18377
AT2024rny,TDE-H+He,TNS Classification Report No. 17882
AT2024pvu,TDE-featureless,this paper
AT2024qab,TDE-H+He,AstroNote 2024-203
AT2024mvz,TDE-H+He,AstroNote 2024-237
AT2024lhc,TDE-featureless,AstroNote 2024-177
AT2024gxr,TDE-He,AstroNote 2024-150
AT2024gre,TDE-featureless,AstroNote 2024-150/TNS Classification Report No. 17193
AT2024eqp,TDE-featureless,AstroNote 2024-150/TNS Classification Report No. 17193
AT2024doo,TDE-H+He,AstroNote 2024-142
AT2024bgz,TDE-H+He,AstroNote 2024-47
AT2024kt,TDE-H,TNS Remarks
AT2024as,TDE-H,this paper
AT2023xen,TDE-H+He,this paper
AT2023wdb,TDE-H+He,this paper/TNS Classification Report No. 16027
AT2023ugy,TDE-H,AstroNote 2023-273
AT2023tmq,TDE-H+He,AstroNote 2023-336
AT2023vto,TDE-He,Kumar et al 2024
AT2023rvb,TDE-H+He,AstroNote 2023-326
AT2023mhs,TDE-H+He,TNS Remarks
AT2023mfm,TDE-H,AstroNote 2023-250/TNS Classification Report No. 15598
AT2023lli,TDE-H,TNS Classification Report No. 15129
AT2023kvy,TDE-H,TNS Classification Report No. 15611
AT2023cvb,TDE-H,AstroNote 2023-102
AT2023clx,TDE-H+He,Charalampopoulos et al 2024 (AT2018meh)
AT2022wtn,TDE-H+He,this paper
AT2022upj,TDE-He,TNS Classification Report No. 13751/Extreme Coronal Line Emitter
AT2022pna,TDE-H+He,this paper
AT2022lri,TDE-H+He,AstroNote 2022-233
AT2022hvp,TDE-He,AstroNote 2022-106
AT2022gdw,TDE-He,TNS Classification Report No. 12616/Potentially TDE-H+He 
AT2022gri,TDE-H+He,this paper
AT2022ibq,TDE-He,TNS Classification Report No. 12529
AT2022fpx,TDE-H+He,TNS Remarks/Extreme Coronal Line Emitter Koljonen et al 2024
AT2022exr,TDE-H,TNS Classification Report No. 12383/Potentially TDE-H+He 
AT2022dsb,TDE-H+He,this paper
AT2022dyt,TDE-H,TNS Classification Report No. 12280
AT2022dbl,TDE-H+He,AstroNote 2022-47 First Flare (AT2018mac) / AstroNote 2024-43 Second Flares (AT2018mac)
AT2022czy,TDE-H,AstroNote 2022-101
AT2022csn,TDE-H+He,TNS Remarks
AT2022cmc,Jetted TDE
AT2022bdw,TDE-H+He,AstroNote 2022-50
AT2022arb,TDE-H+He,AstroNote 2022-66
AT2022adm,TDE-H+He,TNS Classification Report No. 11905
AT2022agi,TDE-H+He,Sun et al. 2024 Second Flares
AT2022emf,TDE-H+He,TNS Classification Report No. 20741
AT2022aee,TDE-H,this paper
AT2022rz,TDE-H+He,TNS Classification Report No. 12210
AT2021yte,TDE-H+He,(3)
AT2021yzv,TDE-featureless,(3)
AT2021utq,TDE-H,(3)
AT2021uqv,TDE-H+He,(3)
AT2021uvz,TDE-H+He,TNS Classification Report No. 12234
AT2021sdu,TDE-H+He,(3)
AT2021qth,TDE-H+He,this paper/(3) Extreme Coronal Line Emitter
AT2021mhg,TDE-H+He,(3)
AT2021nwa,TDE-H+He,(3)
AT2021qxv,TDE-He,ATel 14766
AT2021jjm,TDE-H,(3)
AT2021gje,TDE-He,TNS Classification Report No. 9689
AT2021ehb,TDE-featureless,(3)
AT2021crk,TDE-H+He,(3)
AT2021blz,TDE-He,this paper
AT2021axu,TDE-H+He,(3)
AT2021ack,TDE-H+He,TNS Classification Report No. 9121/this paper
AT2021jsg,TDE-H+He,TNS Classification Report No. 9382
AT2021lo,TDE-H+He,TNS Classification Report No. 12040
AT2020acka,TDE-featureless,(3)
AT2020zso,TDE-H+He,(2)
AT2020yue,TDE-H,(3)
AT2020ysg,TDE-featureless,(2-3)
AT2020afhd,TDE-H+He,AstroNote 2024-37/BFF AstroNote 2024-53
AT2020vwl,TDE-H+He,(3)
AT2020wey,TDE-H+He,(2-3)
AT2020vdq,TDE-H+He,Somalwar et al 2023 Table 8 Second Flare/First Flare Uknown (3)
AT2020ukj,TDE-featureless,AstroNote 2024-379
AT2020riz,TDE-featureless,(2)
AT2020qhs,TDE-featureless,(2)
AT2020opy,TDE-H+He,(2)
AT2020nov,TDE-H+He,AstroNote 2020-143/this paper
AT2020neh,TDE-H+He,(3)
AT2020mot,TDE-H+He,(2-3)
AT2020mbq,TDE-H,(2)
AT2020ocn,TDE-He,(2)
AT2020ksf,TDE-H+He,ATel #14246
AT2020ddv,TDE-He,(2)
AT2020pj,TDE-H+He,(2-3)
AT2019vcb,TDE-H+He,(2-3)
AT2019teq,TDE-H+He,(2)
